PacketType,PayloadLen,DeviceID,Timestamp,PacketID,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Flags,Battery,CRC
2,24,3,16200,2037,-0.40087890625,0.90478515625,0.106201171875,1.2664794921875,1.6326904296875,-2.17437744140625,-0.383056640625,-0.2291259765625,-0.03759765625,11,0,216
2,24,2,16202,2037,0.20458984375,0.4404296875,0.044189453125,8.8043212890625,-3.96728515625,-6.67572021484375,-0.5103759765625,-0.165771484375,0.239013671875,11,0,49
2,24,3,16206,2038,-0.404296875,0.899658203125,0.100341796875,0.5340576171875,0.84686279296875,-2.349853515625,-0.38427734375,-0.2083740234375,-0.031005859375,11,0,90
2,24,1,16207,2038,-0.2314453125,0.9609375,0.12744140625,6.34002685546875,2.838134765625,4.49371337890625,1.18408203125,1.1678466796875,-0.279296875,11,0,219
2,24,2,16208,2038,0.228515625,0.45068359375,0.0595703125,9.613037109375,-1.5106201171875,-8.636474609375,-0.5142822265625,-0.1669921875,0.234375,11,0,139
2,24,3,16211,2039,-0.404296875,0.899658203125,0.100341796875,0.5340576171875,0.84686279296875,-2.349853515625,-0.38427734375,-0.2083740234375,-0.031005859375,11,0,122
2,24,1,16212,2039,-0.23876953125,0.998046875,0.130859375,3.13568115234375,5.30242919921875,2.98309326171875,1.1868896484375,1.177001953125,-0.28857421875,11,0,94
2,24,2,16213,2039,0.228515625,0.45068359375,0.0595703125,9.613037109375,-1.5106201171875,-8.636474609375,-0.5142822265625,-0.1669921875,0.234375,11,0,241
2,24,1,16217,2040,-0.23876953125,0.998046875,0.130859375,3.13568115234375,5.30242919921875,2.98309326171875,1.1868896484375,1.177001953125,-0.28857421875,11,0,12
2,24,3,16218,2040,-0.404296875,0.899658203125,0.100341796875,0.5340576171875,0.84686279296875,-2.349853515625,-0.38427734375,-0.2083740234375,-0.031005859375,11,0,206
2,24,2,16219,2040,0.228515625,0.45068359375,0.0595703125,9.613037109375,-1.5106201171875,-8.636474609375,-0.5142822265625,-0.1669921875,0.234375,11,0,106
2,24,3,16223,2041,-0.402587890625,0.899169921875,0.10595703125,0.3509521484375,0.9918212890625,-1.922607421875,-0.3863525390625,-0.2086181640625,-0.03515625,11,0,175
2,24,1,16224,2041,-0.23876953125,0.998046875,0.130859375,3.13568115234375,5.30242919921875,2.98309326171875,1.1868896484375,1.177001953125,-0.28857421875,11,0,239
2,24,2,16225,2041,0.24755859375,0.5361328125,0.05322265625,7.9803466796875,-0.5340576171875,-12.8173828125,-0.5081787109375,-0.1748046875,0.2330322265625,11,0,8
2,24,1,16229,2042,-0.231689453125,0.98388671875,0.14501953125,-3.73077392578125,7.63702392578125,1.46484375,1.1807861328125,1.1761474609375,-0.28857421875,11,0,125
2,24,3,16230,2042,-0.402587890625,0.899169921875,0.10595703125,0.3509521484375,0.9918212890625,-1.922607421875,-0.3863525390625,-0.2086181640625,-0.03515625,11,0,0
2,24,2,16231,2042,0.24755859375,0.5361328125,0.05322265625,7.9803466796875,-0.5340576171875,-12.8173828125,-0.5081787109375,-0.1748046875,0.2330322265625,11,0,247
2,24,3,16234,2043,-0.402587890625,0.899169921875,0.10595703125,0.3509521484375,0.9918212890625,-1.922607421875,-0.3863525390625,-0.2086181640625,-0.03515625,11,0,11
2,24,1,16235,2043,-0.231689453125,0.98388671875,0.14501953125,-3.73077392578125,7.63702392578125,1.46484375,1.1807861328125,1.1761474609375,-0.28857421875,11,0,5
2,24,2,16236,2043,0.24755859375,0.5361328125,0.05322265625,7.9803466796875,-0.5340576171875,-12.8173828125,-0.5081787109375,-0.1748046875,0.2330322265625,11,0,211
2,24,3,16240,2044,-0.4111328125,0.891845703125,0.1083984375,-0.05340576171875,1.04522705078125,-2.4261474609375,-0.3817138671875,-0.2080078125,-0.03466796875,11,0,89
2,24,1,16241,2044,-0.231689453125,0.98388671875,0.14501953125,-3.73077392578125,7.63702392578125,1.46484375,1.1807861328125,1.1761474609375,-0.28857421875,11,0,222
2,24,2,16242,2044,-1.2333984375,7.9873046875,-0.470458984375,214.53094482421875,216.94183349609375,192.22259521484375,-0.525634765625,-0.1695556640625,0.2421875,11,0,176
2,24,1,16246,2045,-0.23828125,0.88818359375,0.107666015625,-4.09698486328125,4.8370361328125,2.63214111328125,1.184326171875,1.17529296875,-0.288818359375,11,0,105
2,24,2,16247,2045,-1.2333984375,7.9873046875,-0.470458984375,214.53094482421875,216.94183349609375,192.22259521484375,-0.525634765625,-0.1695556640625,0.2421875,11,0,202
2,24,3,16248,2045,-0.4111328125,0.891845703125,0.1083984375,-0.05340576171875,1.04522705078125,-2.4261474609375,-0.3817138671875,-0.2080078125,-0.03466796875,11,0,180
2,24,1,16252,2046,-0.23828125,0.88818359375,0.107666015625,-4.09698486328125,4.8370361328125,2.63214111328125,1.184326171875,1.17529296875,-0.288818359375,11,0,187
2,24,2,16253,2046,-1.2333984375,7.9873046875,-0.470458984375,214.53094482421875,216.94183349609375,192.22259521484375,-0.525634765625,-0.1695556640625,0.2421875,11,0,24
2,24,3,16254,2046,-0.4111328125,0.891845703125,0.1083984375,-0.05340576171875,1.04522705078125,-2.4261474609375,-0.3817138671875,-0.2080078125,-0.03466796875,11,0,75
2,24,2,16258,2047,1.27001953125,2.15673828125,2.220703125,-234.29107666015625,-10.894775390625,-248.138427734375,-0.5206298828125,-0.171875,0.2376708984375,11,0,81
2,24,3,16259,2047,-0.407470703125,0.907958984375,0.115966796875,-0.1678466796875,-1.93023681640625,-1.7242431640625,-0.382568359375,-0.2208251953125,-0.028076171875,11,0,96
2,24,1,16260,2047,-0.23828125,0.88818359375,0.107666015625,-4.09698486328125,4.8370361328125,2.63214111328125,1.184326171875,1.17529296875,-0.288818359375,11,0,60
2,24,1,16264,2048,-0.3046875,0.799072265625,0.158203125,-4.50897216796875,0.274658203125,2.11334228515625,1.1832275390625,1.178466796875,-0.2802734375,11,0,165
2,24,2,16265,2048,1.27001953125,2.15673828125,2.220703125,-234.29107666015625,-10.894775390625,-248.138427734375,-0.5206298828125,-0.171875,0.2376708984375,11,0,23
2,24,3,16266,2048,-0.407470703125,0.907958984375,0.115966796875,-0.1678466796875,-1.93023681640625,-1.7242431640625,-0.382568359375,-0.2208251953125,-0.028076171875,11,0,85
2,24,2,16269,2049,1.27001953125,2.15673828125,2.220703125,-234.29107666015625,-10.894775390625,-248.138427734375,-0.5206298828125,-0.171875,0.2376708984375,11,0,215
2,24,1,16270,2049,-0.3046875,0.799072265625,0.158203125,-4.50897216796875,0.274658203125,2.11334228515625,1.1832275390625,1.178466796875,-0.2802734375,11,0,22
2,24,3,16272,2049,-0.407470703125,0.907958984375,0.115966796875,-0.1678466796875,-1.93023681640625,-1.7242431640625,-0.382568359375,-0.2208251953125,-0.028076171875,11,0,90
2,24,1,16276,2050,-0.3046875,0.799072265625,0.158203125,-4.50897216796875,0.274658203125,2.11334228515625,1.1832275390625,1.178466796875,-0.2802734375,11,0,85
2,24,3,16277,2050,-0.42138671875,0.907470703125,0.07958984375,-0.61798095703125,-0.54168701171875,-1.21307373046875,-0.382080078125,-0.2288818359375,-0.0267333984375,11,0,114
2,24,2,16278,2050,-0.381103515625,-0.763916015625,-0.16259765625,18.646240234375,-0.06866455078125,-73.57025146484375,-0.51123046875,-0.17822265625,0.2320556640625,11,0,201
2,24,2,16281,2051,-0.381103515625,-0.763916015625,-0.16259765625,18.646240234375,-0.06866455078125,-73.57025146484375,-0.51123046875,-0.17822265625,0.2320556640625,11,0,11
2,24,3,16282,2051,-0.42138671875,0.907470703125,0.07958984375,-0.61798095703125,-0.54168701171875,-1.21307373046875,-0.382080078125,-0.2288818359375,-0.0267333984375,11,0,176
2,24,1,16283,2051,-0.2060546875,1.01171875,0.12646484375,17.37213134765625,8.8958740234375,5.59234619140625,1.1788330078125,1.1783447265625,-0.280029296875,11,0,82
2,24,1,16287,2052,-0.2060546875,1.01171875,0.12646484375,17.37213134765625,8.8958740234375,5.59234619140625,1.1788330078125,1.1783447265625,-0.280029296875,11,0,70
2,24,3,16288,2052,-0.42138671875,0.907470703125,0.07958984375,-0.61798095703125,-0.54168701171875,-1.21307373046875,-0.382080078125,-0.2288818359375,-0.0267333984375,11,0,78
2,24,2,16292,2052,-0.381103515625,-0.763916015625,-0.16259765625,18.646240234375,-0.06866455078125,-73.57025146484375,-0.51123046875,-0.17822265625,0.2320556640625,11,0,218
2,24,3,16296,2053,-0.39697265625,0.893310546875,0.099853515625,-0.89263916015625,-0.64849853515625,-0.22125244140625,-0.384033203125,-0.207763671875,-0.0340576171875,11,0,126
2,24,2,16297,2053,-0.386962890625,0.75,-0.18701171875,50.29296875,4.6234130859375,-10.467529296875,-0.5064697265625,-0.1663818359375,0.23681640625,11,0,120
2,24,1,16298,2053,-0.2060546875,1.01171875,0.12646484375,17.37213134765625,8.8958740234375,5.59234619140625,1.1788330078125,1.1783447265625,-0.280029296875,11,0,136
2,24,1,16302,2054,-0.24169921875,1.1435546875,0.03466796875,13.86260986328125,8.87298583984375,6.76727294921875,1.1776123046875,1.1717529296875,-0.2919921875,11,0,216
2,24,3,16304,2054,-0.39697265625,0.893310546875,0.099853515625,-0.89263916015625,-0.64849853515625,-0.22125244140625,-0.384033203125,-0.207763671875,-0.0340576171875,11,0,78
2,24,2,16305,2054,-0.386962890625,0.75,-0.18701171875,50.29296875,4.6234130859375,-10.467529296875,-0.5064697265625,-0.1663818359375,0.23681640625,11,0,72
2,24,1,16308,2055,-0.24169921875,1.1435546875,0.03466796875,13.86260986328125,8.87298583984375,6.76727294921875,1.1776123046875,1.1717529296875,-0.2919921875,11,0,215
2,24,2,16309,2055,0.098876953125,1.39111328125,-0.42333984375,33.74481201171875,12.0086669921875,19.83642578125,-0.5081787109375,-0.1683349609375,0.23583984375,11,0,154
2,24,3,16310,2055,-0.409912109375,0.900390625,0.14306640625,-0.29754638671875,0.2899169921875,-0.95367431640625,-0.3858642578125,-0.2061767578125,-0.0294189453125,11,0,188
2,24,1,16314,2056,-0.24169921875,1.1435546875,0.03466796875,13.86260986328125,8.87298583984375,6.76727294921875,1.1776123046875,1.1717529296875,-0.2919921875,11,0,76
2,24,2,16315,2056,0.098876953125,1.39111328125,-0.42333984375,33.74481201171875,12.0086669921875,19.83642578125,-0.5081787109375,-0.1683349609375,0.23583984375,11,0,1
2,24,3,16316,2056,-0.409912109375,0.900390625,0.14306640625,-0.29754638671875,0.2899169921875,-0.95367431640625,-0.3858642578125,-0.2061767578125,-0.0294189453125,11,0,193
2,24,1,16319,2057,-0.2802734375,1.07421875,0.00439453125,-9.84954833984375,15.02227783203125,2.00653076171875,1.17724609375,1.177001953125,-0.274658203125,11,0,98
2,24,3,16320,2057,-0.409912109375,0.900390625,0.14306640625,-0.29754638671875,0.2899169921875,-0.95367431640625,-0.3858642578125,-0.2061767578125,-0.0294189453125,11,0,52
2,24,2,16321,2057,0.098876953125,1.39111328125,-0.42333984375,33.74481201171875,12.0086669921875,19.83642578125,-0.5081787109375,-0.1683349609375,0.23583984375,11,0,97
2,24,1,16325,2058,-0.2802734375,1.07421875,0.00439453125,-9.84954833984375,15.02227783203125,2.00653076171875,1.17724609375,1.177001953125,-0.274658203125,11,0,78
2,24,3,16326,2058,-0.416015625,0.907470703125,0.1279296875,2.11334228515625,-0.90789794921875,0.40435791015625,-0.3853759765625,-0.2164306640625,-0.0286865234375,11,0,99
2,24,2,16327,2058,0.23828125,0.7822265625,-0.313720703125,-27.1759033203125,-21.96502685546875,8.8348388671875,-0.509521484375,-0.1734619140625,0.24951171875,11,0,239
